gene_name,gene_type
0610009B22RIK,GOAD_microglial
0610031J06RIK,GOAD_microglial
0610040J01RIK,GOAD_microglial
1500012F01RIK,GOAD_microglial
1700001K19RIK,GOAD_microglial
1700026D08RIK,GOAD_microglial
1810011O10RIK,GOAD_microglial
2010012O05RIK,GOAD_microglial
2010015L04RIK,GOAD_microglial
2010111I01RIK,GOAD_microglial
2310022B05RIK,GOAD_microglial
2410015M20RIK,GOAD_microglial
2510009E07RIK,GOAD_microglial
2900026A02RIK,GOAD_microglial
3110043O21RIK,GOAD_microglial
4833439L19RIK,GOAD_microglial
4930404N11RIK,GOAD_microglial
4930427A07RIK,GOAD_microglial
4930486L24RIK,GOAD_microglial
4931406P16RIK,GOAD_microglial
5031414D18RIK,GOAD_microglial
5430435G22RIK,GOAD_microglial
9530068E07RIK,GOAD_microglial
9630033F20RIK,GOAD_microglial
A430105I19RIK,GOAD_microglial
AB124611,GOAD_microglial
ABCA1,GOAD_microglial
ABCB1B,GOAD_microglial
ABCC3,GOAD_microglial
ABCC5,GOAD_microglial
ABCD2,GOAD_microglial
ABCF2,GOAD_microglial
ABCG1,GOAD_microglial
ABHD15,GOAD_microglial
ABI1,GOAD_microglial
ABI2,GOAD_microglial
ABL1,GOAD_microglial
ACAA2,GOAD_microglial
ACACA,GOAD_microglial
ACOT1,GOAD_microglial
ACOT10,GOAD_microglial
ACPP,GOAD_microglial
ACTB,GOAD_microglial
ACTG1,GOAD_microglial
ACTR3,GOAD_microglial
ACTR3B,GOAD_microglial
ACVR2B,GOAD_microglial
ACY1,GOAD_microglial
ADA,GOAD_microglial
ADAM17,GOAD_microglial
ADAM8,GOAD_microglial
ADAM9,GOAD_microglial
ADAMTS1,GOAD_microglial
ADAMTSL2,GOAD_microglial
ADAP1,GOAD_microglial
ADAP2,GOAD_microglial
ADARB1,GOAD_microglial
ADD3,GOAD_microglial
ADH5,GOAD_microglial
ADI1,GOAD_microglial
ADIPOR1,GOAD_microglial
ADM,GOAD_microglial
ADORA1,GOAD_microglial
ADRB2,GOAD_microglial
ADRBK1,GOAD_microglial
ADSSL1,GOAD_microglial
AEBP2,GOAD_microglial
AF529169,GOAD_microglial
AFAP1L1,GOAD_microglial
AGAP1,GOAD_microglial
AGPAT4,GOAD_microglial
AHCYL1,GOAD_microglial
AI607873,GOAD_microglial
AIG1,GOAD_microglial
AKAP5,GOAD_microglial
AKT3,GOAD_microglial
ALCAM,GOAD_microglial
ALDH3B1,GOAD_microglial
ALDOA,GOAD_microglial
ALDOC,GOAD_microglial
ALG10B,GOAD_microglial
ALKBH2,GOAD_microglial
ALOX5AP,GOAD_microglial
ANGPTL4,GOAD_microglial
ANGPTL7,GOAD_microglial
ANK,GOAD_microglial
ANKRD33B,GOAD_microglial
ANKRD37,GOAD_microglial
ANPEP,GOAD_microglial
ANTXR2,GOAD_microglial
ANXA2,GOAD_microglial
ANXA4,GOAD_microglial
ANXA5,GOAD_microglial
AOAH,GOAD_microglial
AP2B1,GOAD_microglial
APBB2,GOAD_microglial
APH1C,GOAD_microglial
API5,GOAD_microglial
APLP2,GOAD_microglial
APOC1,GOAD_microglial
APOC2,GOAD_microglial
APOC4,GOAD_microglial
APOE,GOAD_microglial
APOLD1,GOAD_microglial
ARAP2,GOAD_microglial
AREG,GOAD_microglial
ARHGAP12,GOAD_microglial
ARHGAP22,GOAD_microglial
ARHGAP24,GOAD_microglial
ARHGAP26,GOAD_microglial
ARHGAP4,GOAD_microglial
ARHGEF10L,GOAD_microglial
ARHGEF7,GOAD_microglial
ARID3A,GOAD_microglial
ARIH1,GOAD_microglial
ARIH2,GOAD_microglial
ARL11,GOAD_microglial
ARL5C,GOAD_microglial
